Date, Open, High, Low, Close, Volume,Company
5/3/2023,426,426,426,426,100,KUKZ
4/28/2023,424.5,424.5,424.5,424.5,100,KUKZ
4/27/2023,386,386,386,386,1000,KUKZ
4/26/2023,351,351,351,351,100,KUKZ
4/24/2023,319.25,319.25,319.25,319.25,100,KUKZ
4/17/2023,290.25,290.25,290.25,290.25,100,KUKZ
3/30/2023,264,264,264,264,100,KUKZ
3/22/2023,240,240,240,240,2000,KUKZ
3/17/2023,385.5,385.5,380,384.25,1000,KUKZ
3/13/2023,385.5,385.5,385.5,385.5,100,KUKZ
3/3/2023,401,401,400,400.25,400,KUKZ
2/27/2023,383,383,383,383,2300,KUKZ
2/24/2023,386,386,380,382.5,700,KUKZ
2/21/2023,415,415,415,415,200,KUKZ
2/20/2023,415,415,415,415,200,KUKZ
2/16/2023,415,415,415,415,100,KUKZ
2/15/2023,386,386,386,386,400,KUKZ
2/14/2023,415,415,415,415,300,KUKZ
2/13/2023,420,420,415,418.25,600,KUKZ
2/7/2023,400,400,400,400,700,KUKZ
2/2/2023,405,405,405,405,100,KUKZ
1/31/2023,406,406,406,406,200,KUKZ
1/27/2023,420,420,420,420,400,KUKZ
1/26/2023,420,420,420,420,400,KUKZ
1/20/2023,420,420,406,418.25,800,KUKZ
1/18/2023,420,420,420,420,100,KUKZ
1/12/2023,386.5,386.5,385.25,385.25,4600,KUKZ
12/29/2022,385,385,385,385,300,KUKZ
12/23/2022,390,390,390,390,100,KUKZ
12/21/2022,418,418,418,418,100,KUKZ
12/20/2022,420,420,420,420,400,KUKZ
12/13/2022,420,420,420,420,1500,KUKZ
12/9/2022,420,420,420,420,100,KUKZ
11/29/2022,418,418,418,418,100,KUKZ
11/21/2022,380,380,380,380,100,KUKZ
11/18/2022,390,390,390,390,700,KUKZ
11/17/2022,420,420,420,420,200,KUKZ
11/15/2022,420,420,420,420,200,KUKZ
11/14/2022,420,420,420,420,100,KUKZ
11/10/2022,420,420,420,420,200,KUKZ
11/9/2022,420,420,420,420,400,KUKZ
11/4/2022,410,420,410,415,400,KUKZ
11/2/2022,410,410,410,410,100,KUKZ
10/28/2022,420,420,420,420,200,KUKZ
10/26/2022,420,420,420,420,100,KUKZ
10/21/2022,420,420,420,420,500,KUKZ
10/19/2022,390,390,390,390,1000,KUKZ
10/17/2022,420,420,420,420,200,KUKZ
10/7/2022,420,420,420,420,400,KUKZ
10/6/2022,420,420,420,420,3700,KUKZ
10/5/2022,420,420,420,420,100,KUKZ
10/4/2022,394.5,394.5,394.5,394.5,700,KUKZ
10/3/2022,394.5,394.5,394.5,394.5,600,KUKZ
9/30/2022,394.25,394.5,394.25,394.5,400,KUKZ
9/28/2022,390,394.5,390,393.5,400,KUKZ
9/26/2022,390,390,390,390,300,KUKZ
9/16/2022,390,390,390,390,300,KUKZ
9/14/2022,390,390,390,390,600,KUKZ
9/12/2022,398,398,390,394,200,KUKZ
9/6/2022,368,368,368,368,100,KUKZ
9/5/2022,399,399,399,399,200,KUKZ
9/2/2022,399,399,399,399,100,KUKZ
9/1/2022,399,399,399,399,700,KUKZ
8/29/2022,400,400,399.5,399.75,1000,KUKZ
8/26/2022,400,400,400,400,100,KUKZ
8/23/2022,400,400,400,400,300,KUKZ
8/19/2022,368.25,368.25,368.25,368.25,1900,KUKZ
8/17/2022,400,400,400,400,1100,KUKZ
8/15/2022,400,400,400,400,100,KUKZ
8/3/2022,368.25,368.25,368.25,368.25,1500,KUKZ
7/28/2022,370,370,365,367.5,200,KUKZ
7/22/2022,400,400,400,400,100,KUKZ
7/19/2022,405,405,405,405,100,KUKZ
7/12/2022,390,429,390,409.5,200,KUKZ
7/8/2022,397.5,397.5,390,390,428100,KUKZ
7/6/2022,399,399,397.25,397.5,1100,KUKZ
6/27/2022,450,450,424,441.25,300,KUKZ
6/20/2022,424,424,424,424,100,KUKZ
6/9/2022,424,424,424,424,100,KUKZ
6/6/2022,386,386,386,386,100,KUKZ
5/20/2022,440,440,400,402,2000,KUKZ
5/19/2022,400,400,400,400,100,KUKZ
4/25/2022,400,400,400,400,900,KUKZ
4/22/2022,427,427,400,409,300,KUKZ
4/20/2022,427,427,427,427,100,KUKZ
4/14/2022,424.5,424.5,424.5,424.5,200,KUKZ
3/31/2022,424.5,424.5,424.5,424.5,200,KUKZ
3/29/2022,425,425,425,425,400,KUKZ
3/23/2022,415,415,415,415,300,KUKZ
2/28/2022,415,415,415,415,300,KUKZ
2/22/2022,415,415,415,415,100,KUKZ
2/18/2022,415,415,390,392.5,1000,KUKZ
