Date, Open, High, Low, Close, Volume
10/12/20, 380.00, 380.00, 380.00, 380.00, 100
09/18/20, 385.00, 385.00, 385.00, 385.00, 100
09/07/20, 391.00, 391.00, 391.00, 391.00, 100
08/21/20, 391.00, 391.00, 391.00, 391.00, 100
08/17/20, 390.00, 390.00, 385.00, 385.25, 1600
08/13/20, 391.00, 391.00, 391.00, 391.00, 100
08/12/20, 397.00, 397.00, 397.00, 397.00, 100
08/11/20, 397.00, 397.00, 397.00, 397.00, 300
08/06/20, 375.00, 375.00, 375.00, 375.00, 100
07/24/20, 396.00, 396.00, 395.00, 395.75, 300
07/20/20, 360.00, 360.00, 360.00, 360.00, 100
07/13/20, 328.00, 328.00, 328.00, 328.00, 100
06/26/20, 325.00, 325.00, 325.00, 325.00, 200
06/22/20, 340.00, 340.00, 340.00, 340.00, 200
06/18/20, 332.00, 332.00, 332.00, 332.00, 100
06/16/20, 330.00, 332.00, 320.00, 321.75, 3500
06/05/20, 330.00, 330.00, 330.00, 330.00, 200
06/02/20, 321.00, 321.00, 321.00, 321.00, 100
05/22/20, 340.00, 340.00, 320.00, 320.50, 4900
05/21/20, 350.00, 360.00, 350.00, 355.00, 200
05/20/20, 360.00, 360.00, 360.00, 360.00, 200
04/29/20, 341.00, 341.00, 341.00, 341.00, 400
04/22/20, 310.00, 310.00, 310.00, 310.00, 100
04/14/20, 302.00, 302.00, 301.00, 301.00, 3800
04/06/20, 301.00, 301.00, 301.00, 301.00, 100
03/24/20, 300.00, 300.00, 300.00, 300.00, 2400
03/23/20, 320.00, 320.00, 320.00, 320.00, 300
03/18/20, 320.00, 320.00, 320.00, 320.00, 2600
03/12/20, 319.75, 320.00, 319.00, 319.75, 1200
02/28/20, 319.00, 320.00, 318.00, 319.00, 200
02/27/20, 320.00, 320.00, 320.00, 320.00, 100
02/24/20, 318.00, 325.00, 315.00, 318.00, 500
02/10/20, 320.00, 320.00, 320.00, 320.00, 100
01/30/20, 320.00, 320.00, 320.00, 320.00, 300
01/29/20, 340.00, 340.00, 340.00, 340.00, 100
01/28/20, 310.00, 310.00, 310.00, 310.00, 100
01/27/20, 310.00, 310.00, 310.00, 310.00, 100
01/20/20, 310.00, 310.00, 310.00, 310.00, 200
01/16/20, 340.25, 341.00, 340.00, 340.25, 1600
01/09/20, 360.00, 360.00, 360.00, 360.00, 100
01/03/20, 340.00, 340.00, 340.00, 340.00, 100
12/24/19, 340.00, 340.00, 340.00, 340.00, 100
12/20/19, 340.00, 340.00, 340.00, 340.00, 100
12/16/19, 350.00, 350.00, 350.00, 350.00, 1100
12/09/19, 350.00, 350.00, 350.00, 350.00, 13000
12/05/19, 350.75, 355.00, 350.00, 350.75, 600
12/04/19, 350.00, 350.00, 350.00, 350.00, 100
12/03/19, 350.00, 350.00, 350.00, 350.00, 300
11/26/19, 350.00, 350.00, 350.00, 350.00, 100
11/20/19, 345.00, 350.00, 330.00, 345.00, 400
11/14/19, 330.00, 330.00, 330.00, 330.00, 10800
11/13/19, 361.00, 365.00, 360.00, 361.00, 1500
11/11/19, 360.00, 360.00, 360.00, 360.00, 300
11/06/19, 400.00, 400.00, 400.00, 400.00, 2000
11/05/19, 410.00, 410.00, 410.00, 410.00, 200
10/24/19, 423.50, 423.50, 423.50, 423.50, 100
10/18/19, 423.50, 423.50, 423.50, 423.50, 200
10/02/19, 423.25, 423.25, 423.25, 423.25, 100
09/27/19, 420.00, 420.00, 420.00, 420.00, 100
09/26/19, 423.50, 423.50, 423.50, 423.50, 100
09/24/19, 423.50, 423.50, 423.50, 423.50, 100
09/18/19, 385.00, 385.00, 385.00, 385.00, 100
09/06/19, 350.00, 350.00, 350.00, 350.00, 100
08/08/19, 340.00, 340.00, 340.00, 340.00, 100
07/26/19, 340.00, 340.00, 340.00, 340.00, 3800
07/25/19, 340.00, 340.00, 340.00, 340.00, 100
07/23/19, 340.00, 340.00, 340.00, 340.00, 100
07/22/19, 340.00, 340.00, 340.00, 340.00, 100
07/09/19, 340.00, 340.00, 340.00, 340.00, 100
07/05/19, 340.00, 340.00, 340.00, 340.00, 200
07/01/19, 310.00, 310.00, 310.00, 310.00, 126700
06/24/19, 341.00, 341.00, 341.00, 341.00, 100
06/19/19, 310.00, 310.00, 310.00, 310.00, 500
05/24/19, 310.00, 310.00, 310.00, 310.00, 131500
